	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
LSHVec strain gsa	100.0	50.0	40.0	33.3	22.2	25.0	15.0	40.8	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	66.7	57.1	50.0	36.4	40.0	26.1	57.9		0.0	0.28	0.28	0.28	0.28	0.36	0.36	0.26	1.99	0.0	0.14	0.14	0.14	0.14	0.18	0.18	0.13	1.0	0.0	0.47	0.54	0.49	0.5	0.37	0.44	0.4	0.16	3.95
Metalign 0.6.2	100.0	50.0	40.0	50.0	44.4	41.7	25.0	50.2	88.2	100.0	100.0	100.0	100.0	100.0	83.3	83.3	95.2	2.6	100.0	66.7	57.1	66.7	61.5	55.6	38.5	65.7	5.0	0.0	0.4	0.4	0.4	0.4	0.49	0.49	0.37	1.73	0.0	0.2	0.2	0.2	0.2	0.24	0.24	0.19	0.87	0.0	0.32	0.39	0.12	0.09	0.14	0.2	0.18	0.16	4.04
MetaPhlAn 2.9.22	100.0	56.8	45.4	54.3	49.8	50.0	38.6	56.4	0.0	100.0	100.0	100.0	100.0	97.0	97.5	70.7	95.0	0.0	100.0	71.8	61.9	70.1	65.5	65.9	49.6	70.8		0.0	0.06	0.06	0.07	0.1	0.12	0.27	0.1		0.0	0.03	0.03	0.04	0.05	0.06	0.14	0.05		0.0	0.35	0.42	0.22	0.17	0.16	0.22	0.22		1.77
MetaPhlAn cami1	100.0	54.2	43.4	52.7	48.8	41.2	17.9	51.2	0.0	100.0	100.0	100.0	100.0	99.8	96.0	72.2	95.4	0.0	100.0	69.9	60.2	68.8	65.3	57.3	28.3	66.6		0.0	0.05	0.05	0.05	0.06	0.51	1.69	0.34		0.0	0.02	0.02	0.03	0.03	0.26	0.85	0.17		0.0	0.39	0.46	0.24	0.21	0.07	0.09	0.21		3.58
MetaPhyler 1.25	100.0	64.5	48.0	57.8	55.7	50.2	0.0	53.7	0.0	100.0	100.0	100.0	96.8	100.0	95.1	0.0	84.6	0.0	100.0	77.5	64.3	72.0	71.2	65.3		65.7		0.0	0.02	0.02	0.03	0.05	0.63		0.13		0.0	0.01	0.01	0.01	0.03	0.32		0.06		0.0	0.29	0.38	0.2	0.14	0.05		0.18		2.86
mOTUs 2.0.1_1	100.0	61.8	46.0	57.2	53.6	50.7	0.0	52.7	0.0	100.0	100.0	100.0	100.0	100.0	96.9	0.0	85.3	0.0	100.0	75.5	62.5	72.4	69.5	66.3		65.2		0.0	0.03	0.03	0.02	0.03	0.5		0.1		0.0	0.01	0.01	0.01	0.02	0.25		0.05		0.0	0.32	0.42	0.22	0.17	0.02		0.19		2.71
mOTUs 2.5.1_10	100.0	63.2	48.2	56.8	54.7	60.8	49.4	61.9	0.0	100.0	100.0	67.3	62.4	58.9	61.1	36.9	69.5	0.0	100.0	76.6	55.8	59.3	56.5	60.7	41.9	65.5		0.0	0.11	0.31	0.36	0.53	0.5	1.31	0.45		0.0	0.06	0.16	0.18	0.27	0.25	0.66	0.22		0.0	0.27	0.27	0.19	0.18	0.13	0.31	0.19		9.33
mOTUs 2.5.1_11	100.0	63.2	48.2	56.8	54.8	60.8	49.7	61.9	0.0	100.0	100.0	67.3	62.4	59.0	61.2	37.1	69.6	0.0	100.0	76.6	55.8	59.3	56.6	60.8	42.1	65.5		0.0	0.11	0.31	0.36	0.53	0.5	1.31	0.45		0.0	0.06	0.16	0.18	0.27	0.25	0.66	0.22		0.0	0.27	0.27	0.19	0.18	0.13	0.31	0.19		8.86
mOTUs 2.5.1_2	100.0	59.2	48.8	57.3	43.8	28.0	19.5	51.0	0.0	100.0	100.0	100.0	100.0	95.2	95.8	60.0	93.0	0.0	100.0	73.7	64.9	72.5	59.3	42.9	28.9	65.8		0.0	0.12	0.46	0.46	0.9	0.87	1.82	0.66		0.0	0.06	0.23	0.23	0.45	0.44	0.91	0.33		0.0	0.3	0.13	0.12	0.13	0.16	0.05	0.13		5.87
mOTUs 2.5.1_3	100.0	59.2	48.8	57.3	43.8	28.0	19.5	51.0	0.0	100.0	100.0	100.0	100.0	95.2	95.8	60.0	93.0	0.0	100.0	73.7	64.9	72.5	59.3	42.9	28.9	65.8		0.0	0.12	0.46	0.46	0.9	0.87	1.82	0.66		0.0	0.06	0.23	0.23	0.45	0.44	0.91	0.33		0.0	0.3	0.13	0.12	0.13	0.16	0.05	0.13		5.87
mOTUs 2.5.1_4	100.0	63.5	48.4	57.0	55.1	61.4	51.7	62.4	0.0	100.0	100.0	67.4	62.3	59.1	61.2	36.0	69.4	0.0	100.0	76.8	55.9	59.3	56.8	61.1	42.1	65.8		0.0	0.12	0.31	0.36	0.53	0.5	1.31	0.45		0.0	0.06	0.16	0.18	0.27	0.25	0.66	0.23		0.0	0.27	0.26	0.18	0.18	0.13	0.3	0.19		9.05
mOTUs 2.5.1_5	100.0	63.5	48.4	57.0	55.2	61.5	51.6	62.5	0.0	100.0	100.0	67.4	62.3	59.2	61.3	36.0	69.5	0.0	100.0	76.8	55.9	59.3	56.9	61.2	42.1	65.8		0.0	0.12	0.31	0.36	0.53	0.5	1.31	0.45		0.0	0.06	0.16	0.18	0.27	0.25	0.66	0.23		0.0	0.27	0.26	0.18	0.18	0.13	0.3	0.19		9.2
mOTUs 2.5.1_6	100.0	64.2	49.4	57.8	58.0	67.9	60.3	65.4	0.0	100.0	100.0	67.3	61.9	58.9	61.1	30.7	68.6	0.0	100.0	77.4	56.6	59.6	58.2	64.1	40.4	66.9		0.0	0.12	0.31	0.36	0.52	0.49	1.32	0.45		0.0	0.06	0.15	0.18	0.26	0.25	0.66	0.22		0.0	0.26	0.25	0.18	0.17	0.11	0.26	0.18		8.87
mOTUs 2.5.1_7	100.0	64.2	49.4	57.8	58.0	67.9	60.2	65.4	0.0	100.0	100.0	67.3	61.9	58.9	61.1	30.7	68.6	0.0	100.0	77.4	56.6	59.6	58.2	64.1	40.3	66.9		0.0	0.12	0.31	0.36	0.52	0.49	1.32	0.45		0.0	0.06	0.15	0.18	0.26	0.25	0.66	0.22		0.0	0.26	0.25	0.18	0.17	0.11	0.26	0.18		9.23
mOTUs 2.5.1_8	100.0	59.0	48.6	57.2	41.7	26.5	14.6	49.6	0.0	100.0	100.0	100.0	100.0	95.7	96.1	64.4	93.7	0.0	100.0	73.5	64.8	72.4	57.4	41.2	23.4	64.9		0.0	0.07	0.44	0.44	0.91	0.87	1.83	0.65		0.0	0.03	0.22	0.22	0.45	0.44	0.92	0.33		0.0	0.33	0.15	0.13	0.11	0.14	0.03	0.13		5.81
mOTUs 2.5.1_9	100.0	59.0	48.6	57.2	41.7	26.5	14.6	49.6	0.0	100.0	100.0	100.0	100.0	95.7	96.1	64.4	93.7	0.0	100.0	73.5	64.8	72.4	57.4	41.2	23.4	64.9		0.0	0.07	0.44	0.44	0.91	0.87	1.83	0.65		0.0	0.03	0.22	0.22	0.45	0.44	0.92	0.33		0.0	0.33	0.15	0.13	0.11	0.14	0.03	0.13		5.81
mOTUs cami1	100.0	55.2	44.2	53.5	49.7	51.5	45.0	57.0	0.0	100.0	100.0	100.0	100.0	100.0	95.3	66.6	94.6	0.0	100.0	70.7	60.9	69.5	66.0	66.4	53.1	71.1		0.0	0.03	0.03	0.03	0.04	0.11	0.17	0.06		0.0	0.02	0.02	0.02	0.02	0.06	0.08	0.03		0.0	0.38	0.44	0.24	0.19	0.15	0.09	0.21		2.52
TIPP 4.3.10	100.0	100.0	100.0	83.3	100.0	100.0	55.0	91.2	0.0	100.0	66.7	38.5	12.5	9.6	5.6	3.3	33.7	0.0	100.0	80.0	55.6	21.7	17.5	10.7	6.2	49.2		0.0	0.31	0.34	0.38	0.42	0.58	0.65	0.38		0.0	0.16	0.17	0.19	0.21	0.29	0.33	0.19		0.0	0.05	0.07	0.15	0.16	0.14	0.06	0.09		6.0
TIPP cami1	100.0	100.0	100.0	99.3	99.1	97.3	51.8	92.5	0.0	100.0	77.6	44.2	14.0	10.4	6.3	3.0	36.5	0.0	100.0	87.3	61.2	24.5	18.9	11.9	5.7	52.4		0.0	0.04	0.08	0.11	0.12	0.25	0.39	0.14		0.0	0.02	0.04	0.05	0.06	0.13	0.2	0.07		0.0	0.04	0.08	0.18	0.17	0.17	0.08	0.1		3.14
Average	100.0	67.8	56.7	62.0	59.2	61.1	37.3	63.4	5.5	92.6	89.4	82.3	76.1	73.9	67.3	39.7	74.5	0.2	95.1	72.1	59.4	58.9	54.8	52.6	31.4	63.0	5.0	0.01	0.24	0.26	0.28	0.32	0.44	0.65	0.31	1.92	0.0	0.12	0.13	0.14	0.16	0.22	0.32	0.16	0.97	0.02	0.25	0.29	0.16	0.13	0.11	0.13	0.16	0.12	4.12
Standard error of the mean	0.0	4.9	5.5	3.7	4.7	4.9	4.4	3.6	5.5	4.3	5.0	6.9	8.9	9.0	8.8	7.9	6.6	0.2	2.9	1.7	1.6	4.5	4.6	5.2	4.1	2.7		0.0	0.05	0.05	0.05	0.05	0.05	0.1	0.04	0.06	0.0	0.02	0.02	0.03	0.03	0.02	0.05	0.02	0.03	0.02	0.04	0.05	0.02	0.02	0.02	0.02	0.02	0.04	0.45
Variance	0.0	389.5	484.5	220.5	348.6	388.4	313.9	203.7	486.2	296.9	404.5	751.3	1270.0	1300.0	1233.3	992.6	692.8	0.4	131.9	47.7	42.5	327.5	340.5	439.9	252.3	116.2		0.0	0.04	0.04	0.04	0.04	0.04	0.16	0.02	0.02	0.0	0.01	0.01	0.01	0.01	0.01	0.04	0.01	0.0	0.0	0.03	0.03	0.01	0.01	0.0	0.01	0.01	0.01	3.18
Standard deviation	0.0	19.7	22.0	14.8	18.7	19.7	17.7	14.3	22.0	17.2	20.1	27.4	35.6	36.1	35.1	31.5	26.3	0.6	11.5	6.9	6.5	18.1	18.5	21.0	15.9	10.8		0.02	0.2	0.19	0.2	0.21	0.19	0.4	0.16	0.13	0.01	0.1	0.09	0.1	0.1	0.1	0.2	0.08	0.06	0.06	0.16	0.18	0.09	0.08	0.07	0.08	0.07	0.08	1.78
